,Balance,DAU,Vol,Txs,Rank
465,0.0107170535822107,0.658465991316932,0.015039591059436707,0.06702172537439359,0.0
228,0.19614849847259294,0.4389962027406307,0.13604002191456444,0.2746075466610166,0.0
227,0.16434494027381688,0.42710912993230976,0.11666805273344817,0.28145308858370094,0.0
226,0.1326347518090386,0.4337130592702658,0.08679771390631184,0.2777741394918813,0.0
225,0.13439964275927863,0.43618953277199934,0.17275367228493277,0.2894042413852881,0.0
224,0.30428891843341827,0.43008089813439,0.14216438910436088,0.2666486892540016,0.0
157,0.0005360404164986598,0.013565891472868217,4.527447651386532e-07,0.007751937984496124,0.0
12,0.9973323632836183,0.7499999999999999,0.16666666666666666,0.7499999999999999,0.0
223,0.25490749292115333,0.445269935611689,0.14845050180143424,0.3548933875223915,0.0
220,0.1681122060629434,0.4498926861482582,0.13444766879408115,0.36069880771231005,0.0
34,0.3420303859988189,0.9217877094972068,0.493828181818182,0.2627673505019642,0.0
91,0.0,1.0,1.0,1.0,0.0
219,0.1565191357210275,0.45220406141654285,0.1598620461875921,0.4126317005990331,0.0
218,0.13386276678879158,0.477298992900776,0.16839708335341705,0.39849374963884665,0.0
90,0.0,0.9915907498248072,0.5,0.9414891062480991,0.0
18,0.33991623711340213,0.1943661971830986,0.008506112795229689,0.14816499848346984,0.0
89,0.0,0.3517869656622284,0.0,0.2553988505931132,0.0
0,0.0002459117176933481,0.9999999999999999,1.0,1.0,0.0
229,0.21914789968842927,0.44114247977546645,0.15725704399138352,0.30996783327233857,0.0
238,0.16072584819299118,0.42232128116229156,0.1494824483212071,0.2995550590365391,0.0
237,0.14155156140582345,0.413240878322602,0.17624561012849338,0.2627771250264846,0.0
236,0.2068129459165965,0.4152220571239888,0.3121400950310013,0.2903133848257796,0.0
235,0.15245146296164738,0.40300478784877003,0.16220024467190255,0.2582468170348826,0.0
234,0.13189083860229567,0.40350008254911673,0.1427789371707808,0.26356299478012984,0.0
7,0.9228026296625536,0.37109375,0.0,0.29966066301226835,0.0
7,0.15922783720644287,0.9166666666666666,0.16666666666666669,0.13687150837988826,0.0
233,0.10561639247764709,0.39508007264322276,0.191965219793984,0.2369898106593216,0.0
232,0.0,0.42578834406471855,0.12091657937274652,0.2686788527842518,0.0
67,0.6831274092589369,1.0,0.43452190414716674,0.9685402684563758,0.0
231,0.1722965909898207,0.4147267624236421,0.1572119147884613,0.24354257757574588,0.0
17,0.5562177835051547,0.15211267605633805,0.0044668376694759985,0.10130421595389749,0.0
230,0.13314524068078717,0.42694403169886086,0.21767119735124324,0.2609357243292178,0.0
41,0.06667836462537288,1.0,0.16536133333333336,0.4545454545454546,0.0
5,0.920100646366636,0.55078125,0.0,0.440616027146959,0.0
217,0.11023717942212255,0.45699191018656105,0.09964387135580405,0.2745651713311632,0.0
216,0.0953335430769387,0.4786197787683672,0.10194556253831481,0.3225340447252345,0.0
215,0.09904397511493611,0.48753508337460794,0.1688484941883633,0.36374983146175627,0.0
157,0.07292041682900247,0.29872881355932207,0.005434298440979955,0.37246049661399544,0.0
158,0.021149682643796637,0.2542372881355932,2.969561989606533e-06,0.42003820107657575,0.0
203,0.28950199425573164,0.48951626217599475,0.09798522464125753,0.30102663867326696,0.0
202,0.26386185338921986,0.5189037477298993,0.2558963620329493,0.668004699809311,0.0
201,0.24419128616808586,0.5215453194650818,0.19145851338057954,0.5694589440838261,0.0
200,0.22883805425593456,0.5086676572560674,0.1547742080240706,0.48487393339368606,0.0
156,0.0014992429809290375,0.326271186440678,8.9086859688196e-06,0.41014064941830175,0.0
199,0.20965970791511476,0.5101535413571076,0.1209502523094135,0.5143093784309571,0.0
197,0.21151898348776552,0.5152715865940235,0.3042921962290382,0.5872026503842672,0.0
196,0.17635309997665757,0.49991745088327555,0.2108500176171916,0.4529152300787796,0.0
195,0.15688246577288828,0.49843156678223544,0.17483346831926555,0.46872508041681915,0.0
194,0.15161823957455878,0.5149413901271257,0.2711058029467894,0.5909201225032263,0.0
193,0.1450082713405661,0.5022288261515602,0.16016350722644299,0.4582968969701639,0.0
192,0.3356834766017477,0.49892686148258214,0.17564126238210206,0.49561415336017106,0.0
198,0.20088802736139164,0.5033845137857025,0.11440894491691399,0.5244447868713523,0.0
153,0.03447765684103586,0.2542372881355932,2.969561989606533e-06,0.24066678242750478,0.0
122,0.03095394266381942,0.6927966101694916,0.010806236080178175,0.8006598367772183,0.0
109,0.5453175781307793,1.0,0.23507052709725315,0.8911269317589859,0.0
88,0.0,0.393833216538192,0.0,0.3094433861078649,0.0
87,0.0,0.41695865451997194,0.0,0.31322138088910945,0.0
86,0.0,0.5872459705676243,0.0,0.4986632942193478,0.0
85,0.0,0.5480028030833917,0.0,0.41734035570781375,0.0
84,0.0,0.37771548703573926,0.0,0.29367506043190805,0.0
83,0.0,0.42606867554309735,0.0,0.2850945299117934,0.0
82,0.0,0.4625087596355991,0.0,0.32012102390061953,0.0
81,0.0,0.49264190609670633,0.0,0.3312148814574095,0.0
80,0.0,0.4057463209530483,0.0,0.2501961035426705,0.0
79,0.0,0.21443587946741416,0.0,0.0701970640498183,0.0
214,0.07748571544558676,0.4460954267789335,0.12025844657781799,0.27592888649190056,0.0
213,0.05610201658327667,0.45071817731550273,0.11436520743818862,0.2742531348113335,0.0
212,0.12716348837445324,0.40696714545154367,0.13388323977099692,0.23548356029816822,0.0
15,0.10748717624387799,0.9764150943396226,0.09511096573434594,0.9923605805958746,0.0
108,0.5077082788789213,0.9957627118644068,0.08139272457312544,0.8011807605487063,0.0
2,0.0,1.0,0.0,0.9595278246205733,0.0
239,0.21409984472207283,0.41901931649331353,0.2783451279130313,0.2886145193289289,0.0
72,0.9600117298925649,0.42857142857142855,0.025003333333333332,0.06557377049180328,0.0
127,0.015102555288186086,0.7611940298507464,0.03274174174174174,0.35316740774961025,0.0
267,0.8668902804136686,1.0,0.5034189402122071,0.39644817689774065,0.0
266,0.8340769082439387,0.5563810467228001,0.5195102590440005,0.35600670300672227,0.0
265,0.7749779261770169,0.49892686148258214,0.4345380290334032,0.3651520696496331,0.0
264,0.7528838054255935,0.465411920092455,1.0,0.3706300441088661,0.0
1,0.0,0.0,0.0,0.0,0.0
42,0.9984882955909459,0.421875,0.04597701149425287,0.10114852518924564,0.0
268,0.803310566003268,0.6120191513950801,0.6920045105441776,0.3724213648708516,0.0
263,1.0,0.5307908205382202,0.40656376167435965,0.35006259991910166,0.0
33,0.881461091770871,0.9999999999999999,0.2950300728078506,1.0,0.0
136,0.9249770681318479,0.25925925925925924,0.010947616244849908,0.13836477987421383,0.0
34,0.9826158635764806,0.9999999999999999,0.5020576131687243,0.8,0.0
262,0.890273309449626,0.48571900280667,0.4617431990511833,0.3337904732553884,0.0
261,0.25003501365024916,0.4706950635628199,0.3738025061897782,0.3146368241616426,0.0
260,0.17484903534856341,0.46689780419349514,0.5412154877857528,0.36835333320492325,0.0
51,0.41211972599705743,0.8051359516616313,0.25666897272409855,0.6161912751677852,0.0
49,0.9990608348023484,0.20703125,0.007662835249042145,0.06199425737405377,0.0
269,0.8440897973267839,0.48241703813769193,0.3369086105636618,0.3659995762467015,0.0
9,0.0,0.25,0.008,0.23190184049079757,0.0
4,0.13299531981279253,0.9879518072289156,0.0001346086487872099,0.6644055694394859,0.0
3,0.07109427234232227,1.0000000000000002,3.748508059392998e-05,0.6581578007854338,0.0
274,0.7532258228207809,0.5803202905728909,0.4036437545867496,0.34145270335342953,0.0
55,0.6842105263157895,0.5,0.042857142857142864,0.17857142857142858,0.0
273,0.7472572640638162,0.6085520884926532,0.3726820324332833,0.3557062233950344,0.0
196,0.23736458564184124,0.5372405372405372,0.06972059854259433,0.09578467445208766,0.0
195,0.2740095686294959,0.5702075702075702,0.15329389229068702,0.10206366981282995,0.0
194,0.33497155918253835,0.6251526251526252,0.031192058327544556,0.10838265877459606,0.0
17,0.3363452953296703,1.0,0.0022327790182105674,0.7972166998011927,0.0
2,0.0,0.9036144578313253,0.7781444546818655,0.7972152802570511,0.0
272,0.9976931586372079,0.6272081888723791,0.3089684743919353,0.36010555309436215,0.0
1,1.0,1.0,1.0,0.0,0.0
271,0.9635898632945309,0.5014033349843157,0.36079815043248675,0.36378835448889574,0.0
270,0.9144175047953479,0.6328215288096418,0.4167948184410924,0.36348787487720785,0.0
59,0.10628394459722008,0.32706222865412443,0.0,0.015713984391478593,0.0
259,0.5539372595983072,0.4627703483572726,0.5962710786812965,0.368881098676734,0.0
191,0.3157013386378168,0.5162621759947169,0.15371123623805402,0.4831827725022632,0.0
62,0.06457899909965134,0.20839363241678724,0.0,0.009017085003163889,0.0
258,0.3929191235423666,0.47284134059765565,0.6644047018553381,0.37485602018606623,0.0
53,0.04181862387551665,0.6081144686058553,0.28328096864358476,0.6745957711442786,0.0
54,0.05147350506097483,0.7131695377953498,0.37250124982211447,0.7462168325041459,0.0
55,0.06087885651400566,0.5859926574414007,0.3255419739223105,0.6651119402985074,0.0
56,0.06778251244449562,0.9312811823402053,0.32636807736047435,0.8663971807628524,0.0
57,0.042695177038146064,0.7784994822554834,0.29643906133734793,0.8018242122719734,0.0
24,0.9868717763280148,1.0,0.011494252873563218,0.11929000261028454,0.0
52,0.010192329839917079,0.42069095359126424,0.4822782993145769,0.49015339966832505,0.0
58,0.0508400834325054,1.0,0.20184214037617235,1.0,0.0
60,0.035164497677454026,0.8143650569518969,0.32779855950448095,0.7805244610281924,0.0
126,0.021152744356594474,0.7554535017221585,0.014502552552552552,0.3189351504302131,0.0
250,0.3239178752296185,0.43536404160475484,0.2878817652222378,0.29967448042067146,0.0
16,0.990049751243781,0.47916666666666663,1.0,0.3737313432835821,0.0
249,0.2655699105883308,0.44015189037477304,0.25577568936172823,0.2782210066066992,0.0
69,0.3418941226150716,0.33709874799962347,0.41613083189689093,0.5992433665008292,0.0
59,0.05625295916669866,0.8969217735103079,0.20190379908927605,0.8583644278606966,0.0
125,0.02711126389366334,0.7485648679678532,0.001998198198198198,0.32208812149910493,0.0
