,Balance,DAU,Vol,Txs,Rank
247,0.0,0.47146118721461183,0.300158830375275,0.24425634824667472,0.0
235,0.0360842567394867,0.5623869801084991,0.0008740115394788529,0.6226246367091438,0.0
236,0.03661048548360422,0.5419788168431929,0.000611808077635197,0.5902079141515761,0.0
237,0.0370615386928478,0.5202789976750194,0.000611808077635197,0.5477308294209703,0.0
238,0.03773811850671318,0.5536037199690003,0.0009614126934267383,0.5716521350324167,0.0
239,0.038565049390326414,0.5344872126065616,0.0009614126934267383,0.5600268276324615,0.0
240,0.039016102599569995,0.5313872384396797,0.0005244069236873117,0.5609210820478426,0.0
241,0.03916645366931786,0.5874451046241281,0.021150516391956815,0.7614576346970714,0.0
234,0.035332501390747395,0.5047791268406097,0.0008740115394788529,0.5296221775095015,0.0
242,0.04029408669242682,0.5729785585120124,0.012760568476391253,0.6492287055667337,0.0
244,0.04149689525040971,0.5352622061482821,0.020145965984987562,0.6116700201207244,0.0
245,0.04187277292477937,0.538878842676311,0.006511385969117454,0.6029510395707579,0.0
246,0.04277487934326653,0.5554120382330148,0.005200368659899175,0.5752291526939415,0.0
247,0.04360181022687977,0.6119865667786102,0.018091514460288567,0.6420746702436844,0.0
248,0.04420321450587121,0.5892534228881426,0.003976752504628781,0.5993740219092332,0.0
249,0.044729443249988725,0.6388530095582536,0.012629466745469425,0.7040017885088308,0.0
250,0.04525567199410624,0.6171531903900801,0.02106367810144036,0.6740442655935615,0.0
243,0.04097066650629219,0.5706535778868509,0.0118865569369124,0.663089649005142,0.0
233,0.03458074604200809,0.5078791010074916,0.0003496046157915412,0.547507265817125,0.0
232,0.03428004390251237,0.4668044432963059,0.0003496046157915412,0.4880393471942768,0.0
231,0.033979341763016646,0.5071041074657712,0.000742909808557025,0.5394589760786944,0.0
216,0.025033453113018897,0.45517954017049855,0.0025346334644886733,0.4918399284596468,0.0
217,0.02593555953150607,0.4430379746835443,0.0009614126934267383,0.47730829420970267,0.0
218,0.026912841484867164,0.4368380263497804,0.0011362150013225088,0.46389447797898503,0.0
219,0.02743907022898468,0.43373805218289846,0.000611808077635197,0.46478873239436624,0.0
220,0.028190825577723986,0.45078791010074915,0.0009614126934267383,0.4795439302481556,0.0
151,0.011486715411434254,0.11205273069679848,0.022202878746050102,0.0452411229580358,0.0
152,0.019727422757030287,0.06497175141242938,0.022766553144485557,0.11395872053213343,0.0
221,0.02879222985671543,0.45698785843451306,0.000611808077635197,0.4878157835904315,0.0
