,Balance,DAU,Vol,Txs,Rank
270,0.9095810472958328,0.8812351543942993,0.011769347318032895,0.20019588638589617,0.0
193,0.014495465243380043,0.0,0.0,0.0,0.0
191,0.01234543586511602,0.0,0.0,0.0,0.0
190,0.010999615948950752,0.0,0.0,0.0,0.0
187,0.008632942389060125,0.5,0.0,0.2,0.0
185,0.007835297902162175,0.5,0.0,0.2,0.0
183,0.00656497520080618,0.5,0.0,0.2,0.0
138,0.6575085262615421,0.5,0.0,0.2,0.0
263,0.13317786164207887,0.0642504118616145,0.05710497245507081,0.6626323751891074,0.0
266,0.5290979880606969,0.06919275123558484,0.047073017667733766,0.5476550680786687,0.0
271,0.2572423837920762,0.10378912685337727,0.04372903395617487,0.5431164901664145,0.0
282,0.18485210091259227,0.12685337726523888,0.06044895750422364,0.7155824508320726,0.0
2,0.03149143432986228,0.8076923076923078,0.2485407900095018,0.7368421052631579,0.0
41,0.638269013516805,0.7752475247524752,0.3129621222378863,0.4988164407144394,0.0
40,0.6655006869748933,0.7735973597359735,0.18973129541574738,0.4940822035721971,0.0
39,0.6044754670787402,0.7749174917491749,0.1834149721631502,0.5702603830428233,0.0
1,0.48333333333333334,0.0,0.0,0.0,0.0
0,0.0,1.0,0.00029086678301337986,0.1875,0.0
194,0.014554550020187301,0.0,0.0,0.0,0.0
207,0.03776830233023795,0.5,0.0,0.4000000000000001,0.0
3,0.0,1.0,0.03307887577532576,0.06773977196512407,0.0
1,0.0,0.0,1.0,0.0,0.0
53,0.9684928905644187,0.8214521452145214,0.4139702760321671,0.5915644501829137,0.0
52,0.7935624120328404,0.7194719471947194,0.0001327460647429107,0.4557779212395094,0.0
51,0.7993243525696758,0.7072607260726073,0.0006637303237145535,0.5287282117495158,0.0
50,0.8026199604294646,0.8848184818481848,0.4286801640210376,0.6221217990101141,0.0
49,0.6695975641549778,0.9999999999999999,0.16369713719836773,0.6395523993974608,0.0
48,0.653572126330709,0.8402640264026402,0.31784186757783567,0.6132989025177534,0.0
47,0.6144290488185887,0.9818481848184818,0.2675311090402725,0.627716806541855,0.0
46,0.6163932298689824,0.9673267326732673,0.2519732702524034,0.6208306434258661,0.0
217,0.0,0.2982456140350877,0.0,0.2647058823529412,0.0
45,0.5987790163830353,0.9858085808580858,0.0008363002078803374,0.7045405638046052,0.0
43,0.6413139911889855,0.9607260726072607,0.22767808548315585,0.6176027544652464,0.0
42,0.5960579743291134,0.7716171617161716,0.21810178437260228,0.5693996126533247,0.0
17,0.8823331981682712,0.7540983606557378,0.007243683019829848,0.6551724137931034,0.0
7,0.0,1.0,1.0,1.0,0.0
14,1.0,0.9999999999999998,0.0,0.7096774193548387,0.0
1,0.0,0.19047619047619047,0.0,0.12903225806451615,0.0
2,0.0,1.0,1.0,1.0,0.0
2,1.0,0.0,0.0,0.5,0.0
44,0.5983471022253571,0.9917491749174917,0.0006637303237145535,0.6328814288788466,0.0
54,0.6164488473865088,0.8699669966996699,0.30216721225299276,1.0000000000000002,0.0
44,0.5516432894462586,0.29736842105263156,0.11320754716981131,0.2709580838323354,0.0
46,0.5723750801961482,0.3157894736842105,0.11320754716981131,0.2694610778443114,0.0
70,0.0,0.7568370986920333,0.04674911796252438,0.1074460704965148,0.0
71,0.0,0.8961058263971462,0.041266217492952374,0.11003931155231078,0.0
72,0.0,0.9741379310344828,0.04160041562036118,0.13598273374957331,0.0
73,0.0,0.9026456599286563,0.03055653362747469,0.05839472322244613,0.0
74,0.1088159488698477,0.9677467300832342,0.05230953861628915,0.13017409401737637,0.0
76,0.14413765293650624,0.9826099881093936,0.031697622726370056,0.14714303018290334,0.0
77,0.11671005071148204,0.9803804994054697,0.017887572176399403,0.06857498375783203,0.0
78,0.14115924401460977,0.980231866825208,0.08676155163919935,0.08349024919339741,0.0
79,0.150684809216741,0.9823127229488704,0.124812704624742,0.09780538028696331,0.0
80,0.17834799534712606,0.9809750297265161,0.029747919985228296,0.10749562287337715,0.0
84,0.057475907112685076,0.9811236623067776,0.01884068985191882,0.06029423100216929,0.0
86,0.057475907112685076,0.9781510107015458,0.021028000971586306,0.09572418045874488,0.0
94,0.2157848070360618,0.9815695600475624,0.027344634026809804,0.0964729719313314,0.0
101,0.202827778633259,0.9788941736028537,0.01629514333842616,0.11849074471716603,0.0
102,0.16849352123382177,0.9787455410225921,0.021701965859790385,0.10530981247178266,0.0
103,0.173666208887223,0.978448275862069,0.017250784926919296,0.09066983801878585,0.0
104,0.16862583064960646,0.978448275862069,0.012562476360850809,0.08902910376267714,0.0
69,0.0,0.9114149821640903,0.04018622311286526,0.08714060762225671,0.0
68,0.0,0.9118608799048751,0.029999149481389965,0.07416889652362546,0.0
67,0.22474549785679696,0.928359096313912,0.04794617383005917,0.14200059462852235,0.0
66,0.20118638018767218,0.9175089179548157,0.06519363360179087,0.09746401946857827,0.0
47,0.5883226115422171,0.32105263157894737,0.18867924528301885,0.2859281437125749,0.0
178,0.09537224655758925,0.7916666666666666,0.06797027031778466,0.06135225375626044,0.0
176,0.08692141807621855,0.9374999999999999,0.24423601992256538,0.08555926544240401,0.0
63,0.8486398004985092,0.3131578947368421,0.16981132075471697,0.2919161676646707,0.0
64,0.866182084979185,0.32105263157894737,0.20754716981132074,0.2949101796407186,0.0
65,0.8789401100560401,0.32105263157894737,0.1509433962264151,0.2844311377245509,0.0
66,0.8932928882675022,0.3026315789473684,0.16981132075471697,0.28742514970059885,0.0
67,0.9028614070751435,0.25789473684210523,0.11320754716981131,0.24251497005988024,0.0
45,0.5628065613885068,0.32631578947368417,0.1320754716981132,0.28143712574850305,0.0
68,0.9156194321519987,0.29736842105263156,0.1509433962264151,0.27395209580838326,0.0
70,0.9443249885749228,0.3368421052631579,0.18867924528301885,0.30538922155688625,0.0
71,0.9618672730555985,0.30526315789473685,0.20754716981132074,0.2904191616766467,0.0
72,0.9777441036793665,0.33157894736842103,0.18880503144654087,0.2964071856287426,0.0
73,0.9905021287562216,0.2868421052631579,0.1509433962264151,0.25000000000000006,0.0
74,0.9952863881600423,0.3078947368421052,0.056603773584905655,0.2889221556886228,0.0
75,0.9984052468653931,0.22368421052631576,0.03786163522012578,0.20059880239520958,0.0
76,1.0,0.24473684210526314,0.018867924528301886,0.23502994011976047,0.0
65,0.1560448668154688,0.9616527942925088,0.031386860933717196,0.07882681994868575,0.0
69,0.9283774572288538,0.29473684210526313,0.1509433962264151,0.282934131736527,0.0
105,0.16998801000814395,0.9754756242568371,0.007691564694239361,0.11865041348705581,0.0
55,0.6389663492080468,0.8323432343234323,0.31636838625918934,0.7069076823757263,0.0
57,0.6037301066466327,0.9471947194719471,0.31665511775903404,0.9967721110393802,0.0
91,0.6806826752906897,0.7247524752475247,0.18125413172126512,0.6044760060253928,0.0
90,0.6577411434587963,0.8392739273927392,0.17678058933942903,0.702173445233484,0.0
89,0.6667368527172893,0.6996699669966996,0.1707459532362163,0.6182483322573704,0.0
88,0.6705280992124645,0.8283828382838283,0.20238199538574678,0.7056165267914785,0.0
87,0.6708400372152321,0.8178217821782178,0.157625332197027,0.7047557564019798,0.0
166,0.1779281804073801,0.8142092746730083,6.602235842360561e-05,0.06116965632673736,0.0
86,0.6819338037735483,0.8481848184818481,0.1834019630488054,0.6950720895201206,0.0
85,0.6680885554968644,0.8313531353135313,0.19490042717683634,0.7475790832795353,0.0
84,0.6667031736966609,0.8551155115511551,0.17609030980276588,0.7585539057456424,0.0
76,0.0,0.29239766081871343,0.0,0.08169934640522876,0.0
95,0.10263330158504246,0.7346938775510203,0.5216759896729777,0.7657466383581034,0.0
98,0.19426395884064226,0.5306122448979591,0.41657702237521516,0.6588818117480538,0.0
100,0.3082036421149169,0.5918367346938774,0.6009574010327022,0.9992922859164898,0.0
105,0.23054961616928984,0.510204081632653,0.4922009466437177,0.8421797593772117,0.0
0,0.0,0.0,0.0,0.05,0.0
7,0.7669491525423728,0.625,0.1375796178343949,0.4829157175398633,0.0
8,0.7257869249394673,0.875,0.1778343949044586,0.4829157175398633,0.0
92,0.6714376555822925,0.8541254125412541,0.18211963606338888,0.7236927049709491,0.0
93,0.661703304556367,0.8184818481848184,0.17474426470627277,0.7706046911986228,0.0
23,0.9155475662178423,0.9642857142857143,0.02387343107659344,0.6173780487804879,0.0
94,0.6845981828034509,0.858085808580858,0.1923809068680159,0.6967936302991178,0.0
34,0.5218634907850181,0.5204081632653061,0.09060098682089049,0.17596248766041458,0.0
33,0.5092110767623774,0.6700680272108843,0.054545533227340466,0.20557749259624875,0.0
32,0.5020225745743228,0.6700680272108843,0.06322555585480463,0.21273445212240866,0.0
31,0.49382300204550417,0.5850340136054422,0.15436575167379066,0.17300098716683118,0.0
30,0.47376800980517614,0.6394557823129251,0.06456094045878502,0.18805528134254687,0.0
29,0.46537829210317117,0.6700680272108843,0.16083724930165313,0.17448173741362288,0.0
28,0.4444759072347885,0.6224489795918368,0.04820242573439746,0.1776900296150049,0.0
27,0.4382120639686144,0.6156462585034014,0.26232671343630903,0.1552319842053307,0.0
14,0.8202179176755447,1.0,0.12738853503184713,0.33940774487471526,0.0
26,0.40406900657708045,0.7891156462585034,0.1140986793025579,0.17670286278381045,0.0
97,0.7216673867806879,0.8132013201320132,0.1722008501057986,0.7079836453625996,0.0
96,0.7237292627000801,0.8541254125412541,0.1851940349228347,0.8198837959974177,0.0
95,0.7399568946242746,0.8643564356435643,0.2946856440440823,0.7619969873036367,0.0
0,0.0,0.1764705882352941,0.0007958615200955034,0.11811023622047244,0.0
93,0.9121507533549447,0.8701298701298701,0.006728313656821571,0.17060850962681243,0.0
